Entidade;Classe
Bashkiriano;Unidade_Cronoestratigrafica
Mississippiano;Unidade_Cronoestratigrafica
Mississippiano Superior;Unidade_Cronoestratigrafica
Serpukhoviano;Unidade_Cronoestratigrafica
Mississippiano Médio;Unidade_Cronoestratigrafica
Viseano;Unidade_Cronoestratigrafica
Mississippiano Inferior;Unidade_Cronoestratigrafica
Tournaisiano;Unidade_Cronoestratigrafica
Devoniano;Unidade_Cronoestratigrafica
Devoniano Superior;Unidade_Cronoestratigrafica
Famenniano;Unidade_Cronoestratigrafica
Famenniano Superior;Unidade_Cronoestratigrafica
Famenniano Inferior;Unidade_Cronoestratigrafica
Frasniano;Unidade_Cronoestratigrafica
Frasniano Superior;Unidade_Cronoestratigrafica
Frasniano Médio;Unidade_Cronoestratigrafica
Frasniano Inferior;Unidade_Cronoestratigrafica
Devoniano Médio;Unidade_Cronoestratigrafica
Givetiano;Unidade_Cronoestratigrafica
Givetiano Superior;Unidade_Cronoestratigrafica
Givetiano Médio;Unidade_Cronoestratigrafica
Givetiano Inferior;Unidade_Cronoestratigrafica
Eifeliano;Unidade_Cronoestratigrafica
Devoniano Inferior;Unidade_Cronoestratigrafica
Emsiano;Unidade_Cronoestratigrafica
Pragiano;Unidade_Cronoestratigrafica
Lochkoviano;Unidade_Cronoestratigrafica
Siluriano;Unidade_Cronoestratigrafica
Pridoli;Unidade_Cronoestratigrafica
Ludlow;Unidade_Cronoestratigrafica
Ludfordiano;Unidade_Cronoestratigrafica
Gorstiano;Unidade_Cronoestratigrafica
Wenlock;Unidade_Cronoestratigrafica
Homeriano;Unidade_Cronoestratigrafica
Sheinwoodiano;Unidade_Cronoestratigrafica
Llandovery;Unidade_Cronoestratigrafica
Telychiano;Unidade_Cronoestratigrafica
Aeroniano;Unidade_Cronoestratigrafica
Rhuddaniano;Unidade_Cronoestratigrafica
Ordoviciano;Unidade_Cronoestratigrafica
Ordoviciano Superior;Unidade_Cronoestratigrafica
Hirnantiano;Unidade_Cronoestratigrafica
Katiano;Unidade_Cronoestratigrafica
Sandbiano;Unidade_Cronoestratigrafica
Ordoviciano Médio;Unidade_Cronoestratigrafica
Darriwiliano;Unidade_Cronoestratigrafica
Dapingiano;Unidade_Cronoestratigrafica
Ordoviciano Inferior;Unidade_Cronoestratigrafica
Floiano;Unidade_Cronoestratigrafica
Tremadociano;Unidade_Cronoestratigrafica
Cambriano;Unidade_Cronoestratigrafica
Furongiano;Unidade_Cronoestratigrafica
Andar 10;Unidade_Cronoestratigrafica
Jiangshaniano;Unidade_Cronoestratigrafica
Paibiano;Unidade_Cronoestratigrafica
Série 3;Unidade_Cronoestratigrafica
Guzhangiano;Unidade_Cronoestratigrafica
Drumiano;Unidade_Cronoestratigrafica
Andar 5;Unidade_Cronoestratigrafica
Série 2;Unidade_Cronoestratigrafica
Andar 4;Unidade_Cronoestratigrafica
Andar 3;Unidade_Cronoestratigrafica
Terreneuviano;Unidade_Cronoestratigrafica
Andar 2;Unidade_Cronoestratigrafica
Fortuniano;Unidade_Cronoestratigrafica
Proterozoico;Unidade_Cronoestratigrafica
Neoproterozoico;Unidade_Cronoestratigrafica
Ediacarano;Unidade_Cronoestratigrafica
Cryogeniano;Unidade_Cronoestratigrafica
Toniano;Unidade_Cronoestratigrafica
Mesoproterozoico;Unidade_Cronoestratigrafica
Steniano;Unidade_Cronoestratigrafica
Ectasiano;Unidade_Cronoestratigrafica
Calymmiano;Unidade_Cronoestratigrafica
Paleoproterozoico;Unidade_Cronoestratigrafica
Statheriano;Unidade_Cronoestratigrafica
Orosiriano;Unidade_Cronoestratigrafica
